Date,MSTR_Close,BTC-USD_Close,BTC_Purchased,Total_BTC,Total_Investment_USD,Total_Assets,Total_Liabilities,Gross_Profit,MSTR_Market_Cap_USD,BTC_Holdings_Value_USD,BTC_to_Market_Cap_Ratio,Financial_Leverage_Ratio,Net_Assets_USD,BTC_to_Net_Assets_Ratio,Gross_Profit_Margin,Year
2020-11-23,22.0,18364,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4039643127.0,702427631.0,0.1739,,,,0.02624,2020
2020-11-24,24.0,19107,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4524012245.0,730860530.0,0.1616,,,,0.02343,2020
2020-11-25,27.0,18732,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4945616754.0,716503631.0,0.1449,,,,0.02143,2020
2020-11-26,27.0,17150,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4945616754.0,656011331.0,0.1326,,,,0.02143,2020
2020-11-27,27.0,17108,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4963732387.0,654396389.0,0.1318,,,,0.02135,2020
2020-11-28,27.0,17717,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4963732387.0,677691087.0,0.1365,,,,0.02135,2020
2020-11-29,27.0,18177,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,4963732387.0,695288777.0,0.1401,,,,0.02135,2020
2020-11-30,34.0,19625,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,6272279754.0,750688224.0,0.1197,,,,0.0169,2020
2020-12-01,32.0,18802,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,5928811479.0,719214675.0,0.1213,,,,0.01788,2020
2020-12-02,32.0,19201,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,5879770410.0,734441761.0,0.1249,,,,0.01803,2020
2020-12-03,33.0,19445,16796.0,38250.0,425000000.0,,384000000.0,106000000.0,6067882052.0,743786490.0,0.1226,,,,0.01747,2020
2020-12-04,32.0,18699,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,6002006260.0,763399231.0,0.1272,,,,0.01766,2020
2020-12-05,32.0,19154,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,6002006260.0,781952304.0,0.1303,,,,0.01766,2020
2020-12-06,32.0,19345,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,6002006260.0,789745223.0,0.1316,,,,0.01766,2020
2020-12-07,33.0,19191,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,6152422837.0,783479138.0,0.1273,,,,0.01723,2020
2020-12-08,28.0,18321,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5296587604.0,747942404.0,0.1412,,,,0.02001,2020
2020-12-09,28.0,18553,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5237299601.0,757445067.0,0.1446,,,,0.02024,2020
2020-12-10,29.0,18264,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5312690777.0,745650041.0,0.1404,,,,0.01995,2020
2020-12-11,28.0,18058,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5231992722.0,737236709.0,0.1409,,,,0.02026,2020
2020-12-12,28.0,18803,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5231992722.0,767640462.0,0.1467,,,,0.02026,2020
2020-12-13,28.0,19142,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5231992722.0,781468635.0,0.1494,,,,0.02026,2020
2020-12-14,27.0,19246,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5115063402.0,785725016.0,0.1536,,,,0.02072,2020
2020-12-15,28.0,19417,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5229614138.0,792682717.0,0.1516,,,,0.02027,2020
2020-12-16,29.0,21310,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5473537176.0,869983838.0,0.1589,,,,0.01937,2020
2020-12-17,29.0,22805,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5449382765.0,930997937.0,0.1708,,,,0.01945,2020
2020-12-18,30.0,23137,2574.0,40824.0,475000000.0,,384000000.0,106000000.0,5511598713.0,944584117.0,0.1714,,,,0.01923,2020
